# Variance, Lengthscale 1 (S_x), Lengthscale 2 (S_y), Lengthscale 3 (theta)
1.173079049289288628e-03,4.523889985522252744e+00,6.421626656710600400e+00,6.143443394557860371e-01
1.816088117776350078e-03,6.737230713787809577e+01,1.303253659553714527e+01,9.623240391044273201e-01
1.378237703199196827e-03,9.215125844889085371e+00,9.014608358129235555e+00,8.451643511667270570e-01
1.142005982416175727e-03,4.986518816652464103e+00,6.389238767098853522e+00,7.092352258070669935e-01
1.145436004549838481e-03,5.547424167768105541e+00,5.549069677911443677e+00,5.902092801437729408e-01
1.204351627184453884e-03,5.069235890890629648e+00,5.933582730913657066e+00,6.109619714892675635e-01
1.189360889073002052e-03,5.169920602788915076e+00,5.927185758647345537e+00,6.360694676064804209e-01
1.188037232029556019e-03,4.740291267970217604e+00,6.860951394201820541e+00,6.554238479314576926e-01
1.192387960498016023e-03,4.688877374102355056e+00,6.035538080834637498e+00,6.026198215252243084e-01
1.266083441779700374e-03,4.722747382637168201e+00,5.749377180821461764e+00,6.338301421764688248e-01
1.209463330695365220e-03,5.121399781786151628e+00,6.259568227925434769e+00,6.274001090825194193e-01
1.183316528995447285e-03,5.091556460707355569e+00,5.857533107705464204e+00,6.144749883281552805e-01
1.298184183078878199e-03,4.828642130069852989e+00,7.027300121857092741e+00,6.551251206169690366e-01
1.213788863176593937e-03,5.176622513992673369e+00,5.655156060054366662e+00,6.279993000975713224e-01
1.184637804968472190e-03,5.061904856678994591e+00,5.916793084761797772e+00,6.256214574304599374e-01
1.191971204202922803e-03,5.115427548831526394e+00,5.906679005676442884e+00,6.290172406949111616e-01
1.154934515909888850e-03,5.413954621220587349e+00,5.558596767322024235e+00,6.158928712005485862e-01
1.273965321100201499e-03,5.307097683566965429e+00,6.616461944044925048e+00,5.939687018017416609e-01
1.252095666861757382e-03,4.746837886204465562e+00,5.102706373548472563e+00,6.360167101908040799e-01
1.188750347863761804e-03,5.117718288526871717e+00,5.843705921058159447e+00,6.263421802033802832e-01
1.173283414535148837e-03,5.098778051543851220e+00,5.843786982399817198e+00,6.149051068460665848e-01
1.182018248702262951e-03,5.106738297128017301e+00,5.999371994094519600e+00,6.247661317530214253e-01
1.180432976200669268e-03,5.125377534142459446e+00,6.127166123070793446e+00,6.318566110255520174e-01
1.190206032067705989e-03,4.960494834622281246e+00,5.737533540545158850e+00,6.105236365694162171e-01
1.207483592780122812e-03,5.058005707960462338e+00,6.045179726195190284e+00,6.252633442211741333e-01
1.159166193752813592e-03,5.866949796678264661e+00,5.920254548260189154e+00,6.250761256915857711e-01
1.236285088892637336e-03,4.793536595721971771e+00,5.542711387519833721e+00,6.378246736019036467e-01
1.181231121737587059e-03,5.124053584838923037e+00,5.791015019596276403e+00,6.315698763730465126e-01
1.223543380843616522e-03,5.087602032716501910e+00,5.925833833696239950e+00,6.163498848847268619e-01
1.190399593312971857e-03,5.009642280586689367e+00,5.429860701352575703e+00,6.277010003142576844e-01
1.184378151764464314e-03,5.081815808944128321e+00,5.908656849766965813e+00,6.216279085350691069e-01
1.196135140178281389e-03,5.090951277694884425e+00,5.893567209289066966e+00,6.274941005020511220e-01
1.167534710521008585e-03,4.825787481198831053e+00,5.735946349495605112e+00,6.358251977885656103e-01
1.237941238164399658e-03,4.999167715446830584e+00,5.966724606084731874e+00,6.213287080370606397e-01
1.143284685650609043e-03,5.166350423465735808e+00,6.236040702498820920e+00,6.273565227538208111e-01
1.183167790242671807e-03,5.113260464820242213e+00,5.903381662477612757e+00,6.241074833708903924e-01
1.185054243075133427e-03,4.889099269218425192e+00,5.980977555087386044e+00,6.264980500087109494e-01
1.180350633958220704e-03,5.085172333870263017e+00,6.216571720967186465e+00,6.189406728487155673e-01
1.074644326904812715e-03,3.013749734776575195e+01,6.283191603864963781e+00,8.044064486374864487e-01
1.191346840320206893e-03,5.091718323345560293e+00,5.920568598604700306e+00,6.206306421932458184e-01
1.190506577949570393e-03,5.096258303814767743e+00,6.023253705342094477e+00,6.124589897030918717e-01
1.185476879282886713e-03,5.072809926044694606e+00,5.917796349585595195e+00,6.129678037647887656e-01
1.186019025868218337e-03,4.731527029941823059e+00,6.226807635210688474e+00,6.269466265649944470e-01
1.165300250363414001e-03,5.217113205702615275e+00,5.297451763179107154e+00,6.417825613280466746e-01
1.174182146203755443e-03,4.661267744954106007e+00,5.975655336844588383e+00,6.884302870713295830e-01
1.186494803816763111e-03,5.067892165024932005e+00,5.921822460235838470e+00,6.163677653787261734e-01
1.182535499795882815e-03,5.074711630080430247e+00,5.869365432723767206e+00,6.232636149200855291e-01
1.182762180236302625e-03,5.047390049811837365e+00,5.892842446641258114e+00,6.229152102281264591e-01
1.180695142034541515e-03,4.993857699401320183e+00,5.859675851897375942e+00,6.339416854943558111e-01
1.300720570676216570e-03,6.028178401615384097e+00,5.232474913253420290e+00,6.274840074362757480e-01
