# Variance, Lengthscale 1 (S_x), Lengthscale 2 (S_y), Lengthscale 3 (theta)
5.350260728232320712e-03,5.295975249963850828e+00,5.881241857135758089e+00,6.166769380327281613e-01
4.846975402983470273e-03,4.446308290374909156e+00,4.768904226031015270e+00,6.204869988343910681e-01
5.556846918535250299e-03,5.571317602566602467e+00,5.475706290556439093e+00,6.342638159309740287e-01
6.005195923991733450e-03,4.784408496275435851e+00,6.392780713971236040e+00,6.892080504588441459e-01
5.310430080444692238e-03,5.534335428589058914e+00,5.068707147665804769e+00,5.974160593520877471e-01
5.253459569087428477e-03,5.241791776179270279e+00,4.983195367947613974e+00,6.116014310110309271e-01
5.176825102656225884e-03,4.801786532036727451e+00,3.597079566710609910e+00,5.957912439257024850e-01
5.385508408600996576e-03,5.387014211615991144e+00,5.275973872156884958e+00,6.348648598071680027e-01
5.260788369830394356e-03,5.356259357973868873e+00,4.966395190760824363e+00,6.109062529976635458e-01
5.253763798128822417e-03,5.314872674961275578e+00,4.941942390716016931e+00,6.213300092794549201e-01
5.285302496391949649e-03,5.388371439867390755e+00,5.100231944695723385e+00,6.160323039260514610e-01
5.573920010635904920e-03,5.409244818600401850e+00,5.326764886807597854e+00,6.346048494653111494e-01
1.260097653301549790e-02,6.945386214105575995e+00,1.645489547740094949e+01,8.886042320571322373e-01
5.053826336982471419e-03,5.013199047137367970e+00,4.136102155497902721e+00,6.066045113038425196e-01
5.396230424906786095e-03,5.299997771452069628e+00,4.955746306726713790e+00,6.292164914347631033e-01
5.179202713040416579e-03,5.320934185023947549e+00,4.815350060835755563e+00,6.073945634118439463e-01
4.632348428963969922e-03,5.519257700580989301e+00,4.899730779187469132e+00,5.792062859104319950e-01
5.315387539326596814e-03,5.365552087681941806e+00,5.130154670149587481e+00,6.127453937191760236e-01
5.266667357369497759e-03,5.245115943860873209e+00,4.839666906940161439e+00,6.133954953502208651e-01
5.239683985007191451e-03,5.207610251867512474e+00,4.427375961366087687e+00,6.224349728021156825e-01
5.220463871437826253e-03,5.223924185611224402e+00,4.951242609450200227e+00,6.084593606923123232e-01
5.509695765606739681e-03,5.327863630901099157e+00,6.100685677270295315e+00,6.227306728653162482e-01
5.294396363749009904e-03,5.241364675815368912e+00,5.154362995337234743e+00,6.157622416664816356e-01
5.323842852447731831e-03,5.333391679719792222e+00,4.919817958826060433e+00,6.183726938784357419e-01
5.160566021461160217e-03,5.237896936984729912e+00,5.004733757682842565e+00,6.146916294021832483e-01
5.291764095716854598e-03,5.804754429494645152e+00,6.159340955334725365e+00,5.807319602475340403e-01
5.627143553193787902e-03,5.576278532935739385e+00,4.803335129724811026e+00,6.435891759554094316e-01
5.402387880698048157e-03,5.144754215736302427e+00,4.783913155735081801e+00,6.297130178779142273e-01
5.180624739849197524e-03,5.217046011662743510e+00,4.806570870384365257e+00,6.173181575069663918e-01
5.235059661660329197e-03,5.216246760046188591e+00,4.997770502024571293e+00,6.103952574707633971e-01
5.101671426141089760e-03,5.043956964493879092e+00,4.527611724178496999e+00,6.051388385829377103e-01
5.079077724702442571e-03,3.652824723277119379e+00,3.283146196908508951e+00,6.275047021124339208e-01
5.227383611833285801e-03,5.089193710254172665e+00,5.261114000418135817e+00,6.150337792534732451e-01
5.760101312963592651e-03,5.654670865806470381e+00,5.307597188777319452e+00,6.487103887725216289e-01
5.009487245008844777e-03,5.482125343099800041e+00,5.215806544161089242e+00,5.818229077571613894e-01
5.439445973586330696e-03,5.354803550423227421e+00,4.992452131602915344e+00,6.274149380128687392e-01
5.483186969309938007e-03,5.279577713416595763e+00,5.247442293644127176e+00,6.298207143352665405e-01
5.255827046614982949e-03,5.281444976196490337e+00,5.110389862240926284e+00,6.099002259516502766e-01
4.817097033984793497e-03,5.037621355729833716e+00,4.231789585733869430e+00,6.472955967619324902e-01
5.182439814897388773e-03,5.214665716227971259e+00,4.482340120243690329e+00,6.138066930394707743e-01
5.268715612807691080e-03,5.257862098338932810e+00,5.019372292188681861e+00,6.102365310501945972e-01
5.229445495443337498e-03,5.252404803106585973e+00,4.952942425201821486e+00,6.075664787204789752e-01
5.152776246381837212e-03,5.176258537273240812e+00,4.887868092742658099e+00,6.085202942140890414e-01
5.197750101162698123e-03,5.533822858396333366e+00,4.731736875732691416e+00,6.192245118289352313e-01
5.173808225560502794e-03,5.256639170415959406e+00,5.422126035897740337e+00,6.388403239315353366e-01
5.218643991192952608e-03,5.241000383250922212e+00,5.036360090773609244e+00,6.069571280622705345e-01
5.276757949869660333e-03,5.266868293306955273e+00,4.939754887042673737e+00,6.141665784617482693e-01
4.804685270308416654e-03,4.928451863368408681e+00,4.798316757748512629e+00,5.702778982705816180e-01
5.380578468700917931e-03,5.379268768812419665e+00,4.650612451218015586e+00,6.311084621228905123e-01
5.171375808668154765e-03,5.285191798616595271e+00,5.081728116223672487e+00,6.228873722229442134e-01
