# Low-fidelity variance, Low-fidelity lengthscale 1 (S_x), Low-fidelity lengthscale 2 (S_y), Low-fidelity lengthscale 3 (theta), Scale variance, Scale lengthscale 1 (S_x), Scale lengthscale 2 (S_y), Scale lengthscale 3 (theta), Previous fidelity fidelity 2 variance, Previous fidelity fidelity 2 lengthscale, Bias variance, Bias lengthscale 1 (S_x), Bias lengthscale 2 (S_y), Bias lengthscale 3 (theta)
9.512612070180077872e-02,1.423248384661107258e+00,1.177424423543957488e+00,5.115542483582307121e-01,3.635334703007491044e+03,3.831881021074931050e+04,7.258572846748955421e+00,9.937111583292903561e+00,4.448700551346958518e-06,1.972579295371942876e-01,5.452452754382618449e-01,4.478645218149881839e+04,4.644388448000392964e+04,3.487584758650623553e+04
9.512610750981613517e-02,1.423250314360119617e+00,1.177424013302119210e+00,5.115535549134704318e-01,5.889099738710265228e+03,4.675210198380311340e+04,1.842528426635430705e+01,3.388006297305701509e+01,7.126352313133845807e-05,3.339373137797613800e-01,5.812763626574707408e-05,3.029995160500242313e-01,6.237778717320293653e-01,3.637164081747610300e-01
9.512623843015989566e-02,1.423248857455154504e+00,1.177424522144447261e+00,5.115537734909737511e-01,4.098762288707355558e-06,9.633031158049046644e+04,6.945502642832629192e+00,9.793657233889145886e+00,3.785658376567746018e+03,1.949796597214329130e-01,5.382034098403492006e-01,9.578242001766410249e+04,9.752294143878956675e+04,4.361628319206608285e+04
9.512618208229671468e-02,1.423248593263042761e+00,1.177424696600785969e+00,5.115538727181169198e-01,4.721996662016374451e-04,6.405028614559464768e+04,1.587527789056352034e+01,3.077133015767375923e+01,9.588621621515068227e+02,3.777632382973898917e-01,5.915609354746582211e-05,1.708009803810536687e+04,8.629226471421198863e-02,1.363382187628352504e-01
9.512602098557505770e-02,1.423247763904297081e+00,1.177425666411287875e+00,5.115537135805816593e-01,7.087305824376424425e+03,5.166688178778582369e+04,6.884016933631983193e+00,1.003147690206901821e+01,2.202516646641675012e-06,1.949649922296590454e-01,5.410796746495561971e-01,6.898992348250924260e+04,9.039608969807713584e+04,5.412672091804718366e+04
9.512619682452212733e-02,1.423249027453453053e+00,1.177424198127390520e+00,5.115538570798647822e-01,2.750275677410563731e+02,1.301724811870997219e+05,6.865703059051281976e+00,1.000487862055403454e+01,5.707654410367276883e-05,1.959753714869770513e-01,5.306870868446521561e-01,6.809124396649973642e+04,3.926576135108315066e+04,1.361196822960929421e+05
9.512613944615661010e-02,1.423249102822240264e+00,1.177424684742184535e+00,5.115537564170308249e-01,1.755675251136928390e-05,6.755530758546004654e+04,7.129042949161620513e+00,9.823308145629658483e+00,9.010408410619771757e+02,1.941188620376332885e-01,5.374278229516541439e-01,5.959103753091643011e+04,7.010527318913643830e+04,3.538665116671391297e+04
9.512621428620296471e-02,1.423248331685423640e+00,1.177424860011078156e+00,5.115539543255622768e-01,4.862220103004281230e-02,2.715328436374402798e+00,1.431259048744849105e+00,1.728158092646749910e+00,4.862214584208014723e-02,5.063888740176127751e-02,4.710436893803189307e-01,8.482071072420968267e+04,9.541882370555936359e+04,4.108738661703740217e+04
9.512625482728941095e-02,1.423248808004134780e+00,1.177425223579676050e+00,5.115537557495531962e-01,4.318762506177537944e+03,7.527546092688325734e+04,6.931491469181609411e+00,1.000773184933033377e+01,3.678436285130213130e-06,1.962097966831382601e-01,5.429252698003916855e-01,7.542282207947602728e+04,8.041153830175471376e+04,4.296071605916717817e+04
9.512634477990146442e-02,1.423248549057172685e+00,1.177424753195801088e+00,5.115538245285820018e-01,2.698215996379624812e+03,5.918602315230988461e+04,6.975756371754619600e+00,1.008933448065636718e+01,5.939636620430281853e-06,1.965412445586785517e-01,5.394098310461769019e-01,6.669317042259481968e+04,8.137518196104565868e+04,7.282302120886587363e+04
